randsum.gpu,1000,6144,768,39424
sumprefix.gpu,1000,512,256,47360
randsum.gpu,3000,7680,256,153600
sumprefix.gpu,3000,512,256,101888
randsum.gpu,5000,2816,0,147712
sumprefix.gpu,5000,256,256,112128
randsum.gpu,7000,2560,256,202496
sumprefix.gpu,7000,256,256,155136
randsum.gpu,9000,6656,256,260096
sumprefix.gpu,9000,256,256,263424
randsum.gpu,11000,3840,7168,334336
sumprefix.gpu,11000,256,256,273408
randsum.gpu,13000,6656,8960,386560
sumprefix.gpu,13000,256,256,299264
randsum.gpu,15000,5632,11520,460032
sumprefix.gpu,15000,256,256,338688
randsum.gpu,17000,6144,10752,522496
sumprefix.gpu,17000,3328,4864,377344
randsum.gpu,19000,4352,12544,581376
sumprefix.gpu,19000,3584,5888,424704
randsum.gpu,21000,4608,12288,634624
sumprefix.gpu,21000,3328,7680,473856
randsum.gpu,23000,4608,9728,695296
sumprefix.gpu,23000,3072,5120,517632
randsum.gpu,25000,3072,6912,498432
sumprefix.gpu,25000,2304,5888,373504
randsum.gpu,27000,3328,7424,545024
sumprefix.gpu,27000,2048,6912,401664
randsum.gpu,29000,3328,8192,577024
sumprefix.gpu,29000,2048,7936,433152
randsum.gpu,31000,3584,8704,616960
sumprefix.gpu,31000,2048,7936,462592
randsum.gpu,33000,5120,17408,659200
sumprefix.gpu,33000,2304,8448,493568
randsum.gpu,35000,5888,15872,756992
sumprefix.gpu,35000,3840,8960,523264
randsum.gpu,37000,6400,17664,784896
sumprefix.gpu,37000,4352,7168,555264
randsum.gpu,39000,5632,16640,810496
sumprefix.gpu,39000,3840,7168,585984
randsum.gpu,41000,5632,17920,851712
sumprefix.gpu,41000,4096,7424,620032
randsum.gpu,43000,5632,17664,886784
sumprefix.gpu,43000,4096,8192,649728
randsum.gpu,45000,5632,17664,931584
sumprefix.gpu,45000,3840,8448,677632
randsum.gpu,47000,5632,19456,976896
sumprefix.gpu,47000,4096,8960,710656
randsum.gpu,49000,5888,20224,1021184
sumprefix.gpu,49000,4096,9472,741632
randsum.gpu,51000,6144,21248,1060864
sumprefix.gpu,51000,4608,9216,817920
randsum.gpu,53000,5632,20480,1091584
sumprefix.gpu,53000,4608,9728,800768
randsum.gpu,55000,5632,21760,1134592
sumprefix.gpu,55000,4352,10240,832256
randsum.gpu,57000,5888,39168,1174528
sumprefix.gpu,57000,5888,11008,866304
randsum.gpu,59000,6144,25344,1218816
sumprefix.gpu,59000,4608,11264,894208
randsum.gpu,61000,6144,24320,1255680
sumprefix.gpu,61000,4096,14080,928512
randsum.gpu,63000,6912,26368,1316352
sumprefix.gpu,63000,4608,12288,957184
randsum.gpu,65000,5888,26368,1344000
sumprefix.gpu,65000,4096,12800,1000704
randsum.gpu,67000,6144,28928,1390592
sumprefix.gpu,67000,4608,15616,1018368
randsum.gpu,69000,7424,30720,1437696
sumprefix.gpu,69000,5120,14080,1053696
randsum.gpu,71000,6400,29440,1470208
sumprefix.gpu,71000,4608,14080,1079296
randsum.gpu,73000,6400,28928,1507328
sumprefix.gpu,73000,4352,14592,1112576
randsum.gpu,75000,6144,30464,1548288
sumprefix.gpu,75000,4352,14080,1144576
randsum.gpu,77000,6144,33536,1601280
sumprefix.gpu,77000,4352,15616,1172992
randsum.gpu,79000,6144,31488,1639936
sumprefix.gpu,79000,4352,17920,1207296
randsum.gpu,81000,6912,33280,1683456
sumprefix.gpu,81000,4864,16128,1239040
randsum.gpu,83000,6144,33280,1712640
sumprefix.gpu,83000,4608,16384,1266176
randsum.gpu,85000,6400,32512,1758464
sumprefix.gpu,85000,4352,17920,1297664
randsum.gpu,87000,6656,34304,1898240
sumprefix.gpu,87000,4864,18176,1328640
randsum.gpu,89000,6400,36864,1837824
sumprefix.gpu,89000,4864,17664,1359872
randsum.gpu,91000,6400,35584,1874176
sumprefix.gpu,91000,4608,18688,1393152
randsum.gpu,93000,6656,36352,1918464
sumprefix.gpu,93000,4864,19200,1422080
randsum.gpu,95000,6400,38144,1953792
sumprefix.gpu,95000,5376,19200,1505280
randsum.gpu,97000,6656,37632,1997056
sumprefix.gpu,97000,4864,19968,1487872
randsum.gpu,99000,6656,40448,2046464
sumprefix.gpu,99000,4864,21248,1514240
randsum.gpu,1000,8960,1024,58112
sumprefix.gpu,1000,512,256,74752
randsum.gpu,3000,6144,256,110592
sumprefix.gpu,3000,256,256,85248
randsum.gpu,5000,3328,256,171008
sumprefix.gpu,5000,256,256,115456
randsum.gpu,7000,2816,256,203776
sumprefix.gpu,7000,0,0,157440
randsum.gpu,9000,2816,256,258048
sumprefix.gpu,9000,0,256,216064
randsum.gpu,11000,3328,5376,329984
sumprefix.gpu,11000,256,256,255488
randsum.gpu,13000,4864,6912,381696
sumprefix.gpu,13000,256,256,301568
randsum.gpu,15000,5632,10496,447744
sumprefix.gpu,15000,256,256,339968
randsum.gpu,17000,5888,10752,503808
sumprefix.gpu,17000,3840,4864,380928
randsum.gpu,19000,4864,11776,565760
sumprefix.gpu,19000,3328,5632,428288
randsum.gpu,21000,4864,8448,628224
sumprefix.gpu,21000,2304,5376,321024
randsum.gpu,23000,2816,6656,470272
sumprefix.gpu,23000,2048,5120,345600
randsum.gpu,25000,3328,6400,496384
sumprefix.gpu,25000,2048,5888,374784
randsum.gpu,27000,3072,7168,536064
sumprefix.gpu,27000,2048,6656,402432
randsum.gpu,29000,3072,8192,579840
sumprefix.gpu,29000,2048,7936,442880
randsum.gpu,31000,3072,7936,617984
sumprefix.gpu,31000,2048,7680,467712
randsum.gpu,33000,4864,16640,665344
sumprefix.gpu,33000,2048,8192,496640
randsum.gpu,35000,6144,19200,765696
sumprefix.gpu,35000,3840,8448,526848
randsum.gpu,37000,6912,17664,786688
sumprefix.gpu,37000,4096,7424,558592
randsum.gpu,39000,5632,20736,815872
sumprefix.gpu,39000,4096,7424,592384
randsum.gpu,41000,5376,17408,853760
sumprefix.gpu,41000,3840,7424,620032
randsum.gpu,43000,5376,17152,887808
sumprefix.gpu,43000,4096,8192,651776
randsum.gpu,45000,5888,21248,934656
sumprefix.gpu,45000,3584,8448,683264
randsum.gpu,47000,5888,19456,970496
sumprefix.gpu,47000,4096,9472,714240
randsum.gpu,49000,6144,19712,1023488
sumprefix.gpu,49000,4096,8704,743680
randsum.gpu,51000,5888,20992,1051392
sumprefix.gpu,51000,4352,9728,777472
randsum.gpu,53000,6144,24064,1096448
sumprefix.gpu,53000,4352,9472,807680
randsum.gpu,55000,5888,22016,1134592
sumprefix.gpu,55000,4352,10496,838400
randsum.gpu,57000,6144,21760,1181184
sumprefix.gpu,57000,4096,11008,868352
randsum.gpu,59000,6144,34560,1222400
sumprefix.gpu,59000,5120,11776,907264
randsum.gpu,61000,6656,26880,1275392
sumprefix.gpu,61000,4608,14080,931584
