randsum.gpu-vec,1000,8704,512,58112
sumprefix.gpu-vec,1000,512,512,51968
randsum.gpu-vec,3000,5632,256,142592
sumprefix.gpu-vec,3000,256,256,95488
randsum.gpu-vec,5000,3584,0,200192
sumprefix.gpu-vec,5000,256,256,112128
randsum.gpu-vec,7000,3328,256,208128
sumprefix.gpu-vec,7000,256,256,154880
randsum.gpu-vec,9000,3328,256,259072
sumprefix.gpu-vec,9000,0,256,212480
randsum.gpu-vec,11000,4096,6400,332032
sumprefix.gpu-vec,11000,256,256,255232
randsum.gpu-vec,13000,6400,8192,382720
sumprefix.gpu-vec,13000,256,256,296704
randsum.gpu-vec,15000,6400,11264,445952
sumprefix.gpu-vec,15000,256,256,335360
randsum.gpu-vec,17000,7168,11264,507904
sumprefix.gpu-vec,17000,3840,5888,378624
randsum.gpu-vec,19000,6144,12288,565504
sumprefix.gpu-vec,19000,4352,6656,423680
randsum.gpu-vec,21000,5888,9472,631296
sumprefix.gpu-vec,21000,2816,5376,311040
randsum.gpu-vec,23000,3328,8192,477952
sumprefix.gpu-vec,23000,3072,6400,342272
randsum.gpu-vec,25000,3840,7680,529920
sumprefix.gpu-vec,25000,2560,7168,372736
randsum.gpu-vec,27000,3840,14080,537088
sumprefix.gpu-vec,27000,2816,8192,442112
randsum.gpu-vec,29000,4096,8704,599808
sumprefix.gpu-vec,29000,3072,8448,433152
randsum.gpu-vec,31000,4096,9472,679680
sumprefix.gpu-vec,31000,3072,8704,462848
randsum.gpu-vec,33000,8448,17920,660480
sumprefix.gpu-vec,33000,3072,9472,494336
randsum.gpu-vec,35000,7424,18176,791808
sumprefix.gpu-vec,35000,5120,7936,541440
randsum.gpu-vec,37000,7680,20992,835072
sumprefix.gpu-vec,37000,4608,8448,618496
randsum.gpu-vec,39000,7680,17920,871424
sumprefix.gpu-vec,39000,4352,8192,611584
randsum.gpu-vec,41000,6656,17664,868864
sumprefix.gpu-vec,41000,5120,8704,620032
randsum.gpu-vec,43000,7168,17664,920064
sumprefix.gpu-vec,43000,4352,8960,653312
randsum.gpu-vec,45000,7168,22528,940800
sumprefix.gpu-vec,45000,4608,10752,729088
randsum.gpu-vec,47000,7936,20736,1008896
sumprefix.gpu-vec,47000,5120,10496,717568
randsum.gpu-vec,49000,7168,21760,1029888
