randsum.mac,1000,768,7936,32000
sumprefix.mac,1000,1024,0,11008
randsum.mac,3000,0,2048,68096
sumprefix.mac,3000,1024,0,27904
randsum.mac,5000,0,1792,103936
sumprefix.mac,5000,12032,2048,62976
randsum.mac,7000,1024,2048,153088
sumprefix.mac,7000,1024,0,65024
randsum.mac,9000,9984,4096,197888
sumprefix.mac,9000,1024,3072,83968
randsum.mac,11000,4864,2816,243200
sumprefix.mac,11000,0,3072,103168
randsum.mac,13000,6144,5888,288000
sumprefix.mac,13000,1024,5120,121088
randsum.mac,15000,6912,5888,368128
sumprefix.mac,15000,1024,13824,140032
randsum.mac,17000,14080,8960,411904
sumprefix.mac,17000,1024,5120,186880
randsum.mac,19000,9216,24832,429824
sumprefix.mac,19000,1024,4864,176896
randsum.mac,21000,6912,20992,467968
sumprefix.mac,21000,1024,4096,219136
randsum.mac,23000,17152,39936,512768
sumprefix.mac,23000,0,13824,215040
randsum.mac,25000,9984,44800,640000
sumprefix.mac,25000,1024,4864,265984
randsum.mac,27000,7168,44032,610048
sumprefix.mac,27000,1024,5120,251904
randsum.mac,29000,6144,39936,652800
sumprefix.mac,29000,1024,4096,271104
randsum.mac,31000,5888,45056,712192
sumprefix.mac,31000,1024,3072,296960
randsum.mac,33000,5888,38912,736000
sumprefix.mac,33000,1024,34048,339200
randsum.mac,35000,30976,51968,1129984
sumprefix.mac,35000,1024,5120,336128
randsum.mac,37000,9216,50944,824832
sumprefix.mac,37000,1024,4864,344064
randsum.mac,39000,8960,57856,889856
sumprefix.mac,39000,1024,5888,448000
randsum.mac,41000,9984,64768,916992
sumprefix.mac,41000,1024,6144,434944
randsum.mac,43000,9216,52992,1110784
sumprefix.mac,43000,768,5888,399104
randsum.mac,45000,7936,57088,1032192
sumprefix.mac,45000,1024,5120,423936
randsum.mac,47000,9216,55808,1168896
sumprefix.mac,47000,2048,5120,547840
randsum.mac,49000,8960,58880,1102080
sumprefix.mac,49000,0,6144,466944
randsum.mac,51000,8192,66048,1195008
sumprefix.mac,51000,1024,5888,475136
randsum.mac,53000,7168,60928,1204992
sumprefix.mac,53000,768,8192,1060096
randsum.mac,55000,6912,67072,1458944
sumprefix.mac,55000,1024,6144,510976
randsum.mac,57000,7936,68096,1263872
sumprefix.mac,57000,1024,4864,529152
randsum.mac,59000,9984,68864,1296128
sumprefix.mac,59000,0,4864,549120
randsum.mac,61000,8960,103936,1376000
sumprefix.mac,61000,1024,4864,579840
randsum.mac,63000,9984,71168,1544960
sumprefix.mac,63000,768,5888,585216
randsum.mac,65000,8960,79104,1446144
sumprefix.mac,65000,0,5888,604928
randsum.mac,67000,8960,78080,1534976
sumprefix.mac,67000,1024,5120,621824
randsum.mac,69000,8960,110848,1555968
sumprefix.mac,69000,1024,7936,798976
