mac,randsum,256,1024,5888,7936
mac,sumprefix,256,768,0,3072
mac,randsum,65536,8960,7936,1437952
mac,sumprefix,65536,3072,4864,881152
mac,randsum,1048576,5888,677888,27344128
mac,sumprefix,1048576,1024,596992,13028096
mac,randsum,4194304,7936,3777792,87249920
mac,sumprefix,4194304,1024,2500096,54638848
mac,randsum,256,1024,6144,8960
mac,sumprefix,256,1024,0,3072
mac,randsum,65536,8960,5888,1327104
mac,sumprefix,65536,1024,3840,773888
mac,randsum,1048576,7936,653056,21137152
mac,sumprefix,1048576,1024,668160,13271040
mac,randsum,4194304,9984,3799040,149861120
mac,sumprefix,4194304,1024,2427904,53166080
mac,randsum,256,1024,5888,7936
mac,sumprefix,256,0,1024,2816
mac,randsum,65536,8192,4864,1316864
mac,sumprefix,65536,1024,4864,764928
mac,randsum,1048576,6144,662016,21312768
mac,sumprefix,1048576,1024,626944,13326848
mac,randsum,4194304,8960,3852032,98179840
mac,sumprefix,4194304,768,2255872,52385024
mac,randsum,256,0,6912,8960
mac,sumprefix,256,0,1024,36096
mac,randsum,65536,14080,5120,1469952
mac,sumprefix,65536,1024,4096,763904
mac,randsum,1048576,7168,644096,20988928
mac,sumprefix,1048576,1024,659968,13035008
mac,randsum,4194304,7936,3533056,84976896
mac,sumprefix,4194304,1024,2318848,53382144
mac,randsum,256,1024,6144,7936
mac,sumprefix,256,0,0,4096
mac,randsum,65536,8960,3840,1312000
mac,sumprefix,65536,1024,5120,764160
mac,randsum,1048576,6912,647168,22039040
mac,sumprefix,1048576,768,611072,13062144
mac,randsum,4194304,6912,3858176,83523072
mac,sumprefix,4194304,1024,2332160,52271104
mac,randsum,256,1024,6144,8960
mac,sumprefix,256,0,0,3072
mac,randsum,65536,7936,3840,1299968
mac,sumprefix,65536,0,4096,763904
mac,randsum,1048576,6144,648960,20831744
mac,sumprefix,1048576,0,593920,13305856
mac,randsum,4194304,8192,4169984,83500800
mac,sumprefix,4194304,768,2600192,57903104
mac,randsum,256,0,6144,8960
mac,sumprefix,256,0,0,3072
mac,randsum,65536,8960,4864,1286912
